dataset,algorithm,accuracy,variant,fit_time,predict_time
Crop,Rocket,0.75696,standard,78.01,26.08
Crop,Arsenal,0.73776,standard,510.75,68.27
Crop,Boss,0.67226,standard,3245.76,756.45
Crop,DRCIF,,standard,,
Crop,HC2,,standard,,
Crop,RIC,,standard,,
Crop,STC,,standard,,
Crop,Weasel,,standard,,
Crop,InceptionTime,,standard,,
Crop,ResNet,,standard,,
Chinatown,Rocket,0.98153,standard,13.57,4.87
Chinatown,Arsenal,0.9825,standard,0.36,1.26
Chinatown,Boss,0.88726,standard,5.90,3.34
Chinatown,DRCIF,,standard,,
Chinatown,HC2,,standard,,
Chinatown,RIC,,standard,,
Chinatown,STC,,standard,,
Chinatown,Weasel,,standard,,
Chinatown,InceptionTime,,standard,,
Chinatown,ResNet,,standard,,
DiatomSizeReduction,Rocket,0.97383,standard,13.83,6.53
DiatomSizeReduction,Arsenal,0.9739,standard,0.81,8.55
DiatomSizeReduction,Boss,0.9281,standard,76.30,145.30
DiatomSizeReduction,DRCIF,,standard,,
DiatomSizeReduction,HC2,,standard,,
DiatomSizeReduction,RIC,,standard,,
DiatomSizeReduction,STC,,standard,,
DiatomSizeReduction,Weasel,,standard,,
DiatomSizeReduction,InceptionTime,,standard,,
DiatomSizeReduction,ResNet,,standard,,
ElectricDevices,Rocket,0.7305,standard,126.84,21.69
ElectricDevices,Arsenal,0.7280,standard,423.86,60.53
ElectricDevices,Boss,0.6740,standard,9097.38,146.80
ElectricDevices,DRCIF,,standard,,
ElectricDevices,HC2,,standard,,
ElectricDevices,RIC,,standard,,
ElectricDevices,STC,,standard,,
ElectricDevices,Weasel,,standard,,
ElectricDevices,InceptionTime,,standard,,
ElectricDevices,ResNet,,standard,,
FordB,Rocket,0.8066,standard,85.57,12.57
FordB,Arsenal,0.8111,standard,213.28,30.98
FordB,Boss,0.8160,standard,17861.70,79.48
FordB,DRCIF,,standard,,
FordB,HC2,,standard,,
FordB,RIC,,standard,,
FordB,STC,,standard,,
FordB,Weasel,,standard,,
FordB,InceptionTime,,standard,,
FordB,ResNet,,standard,,
Fungi,Rocket,1.0000,standard,13.64,5.38
Fungi,Arsenal,1.0000,standard,0.65,3.72
Fungi,Boss,1.0000,standard,45.60,57.34
Fungi,DRCIF,,standard,,
Fungi,HC2,,standard,,
Fungi,RIC,,standard,,
Fungi,STC,,standard,,
Fungi,Weasel,,standard,,
Fungi,InceptionTime,,standard,,
Fungi,ResNet,,standard,,
HandOutlines,Rocket,0.9432,standard,103.01,23.76
HandOutlines,Arsenal,0.9396,standard,214.33,79.07
HandOutlines,Boss,0.9189,standard,34265.47,980.58
HandOutlines,DRCIF,,standard,,
HandOutlines,HC2,,standard,,
HandOutlines,RIC,,standard,,
HandOutlines,STC,,standard,,
HandOutlines,Weasel,,standard,,
HandOutlines,InceptionTime,,standard,,
HandOutlines,ResNet,,standard,,
HouseTwenty,Rocket,0.9636,standard,16.21,8.96
HouseTwenty,Arsenal,0.9664,standard,6.53,18.68
HouseTwenty,Boss,0.9748,standard,915.49,19.57
HouseTwenty,DRCIF,,standard,,
HouseTwenty,HC2,,standard,,
HouseTwenty,RIC,,standard,,
HouseTwenty,STC,,standard,,
HouseTwenty,Weasel,,standard,,
HouseTwenty,InceptionTime,,standard,,
HouseTwenty,ResNet,,standard,,
InsectEPGSmallTrain,Rocket,0.98123,standard,13.92,7.47
InsectEPGSmallTrain,Arsenal,0.98123,standard,1.19,12.03
InsectEPGSmallTrain,Boss,0.97456,standard,139.23,55.13
InsectEPGSmallTrain,DRCIF,,standard,,
InsectEPGSmallTrain,HC2,,standard,,
InsectEPGSmallTrain,RIC,,standard,,
InsectEPGSmallTrain,STC,,standard,,
InsectEPGSmallTrain,Weasel,,standard,,
InsectEPGSmallTrain,InceptionTime,,standard,,
InsectEPGSmallTrain,ResNet,,standard,,
ItalyPowerDemand,Rocket,0.96923,standard,13.39,5.53
ItalyPowerDemand,Arsenal,0.9699,standard,0.48,2.72
ItalyPowerDemand,Boss,0.9310,standard,14.63,21.38
ItalyPowerDemand,DRCIF,,standard,,
ItalyPowerDemand,HC2,,standard,,
ItalyPowerDemand,RIC,,standard,,
ItalyPowerDemand,STC,,standard,,
ItalyPowerDemand,Weasel,,standard,,
ItalyPowerDemand,InceptionTime,,standard,,
ItalyPowerDemand,ResNet,,standard,,
Rock,Rocket,0.9000,standard,15.68,7.47
Rock,Arsenal,0.9000,standard,4.81,11.81
Rock,Boss,0.8000,standard,770.32,10.82
Rock,DRCIF,,standard,,
Rock,HC2,,standard,,
Rock,RIC,,standard,,
Rock,STC,,standard,,
Rock,Weasel,,standard,,
Rock,InceptionTime,,standard,,
Rock,ResNet,,standard,,
SmoothSubspace,Rocket,0.97776,standard,13.89,4.58
SmoothSubspace,Arsenal,0.97776,standard,0.65,0.90
SmoothSubspace,Boss,0.63776,standard,21.77,2.22
SmoothSubspace,DRCIF,,standard,,
SmoothSubspace,HC2,,standard,,
SmoothSubspace,RIC,,standard,,
SmoothSubspace,STC,,standard,,
SmoothSubspace,Weasel,,standard,,
SmoothSubspace,InceptionTime,,standard,,
SmoothSubspace,ResNet,,standard,,










