dataset,algorithm,variant,seed,hyperparameters,accuracy,f1_score,fit_time,predict_time,total_time_seconds,train_size,series_length,num_classes
Crop,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.752797619047619,0.7499587204622866,7164.1029920578,10.889387130737305,7174.992379188538,7200,46,24
Crop,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.7458928571428571,0.742864768583833,7023.016966819763,10.924639225006104,7033.941606044769,7200,46,24
Crop,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.7475,0.7439974008757907,7079.226894855499,10.435584306716919,7089.662479162216,7200,46,24
Chinatown,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9825072886297376,0.9784385214986171,86.40817713737488,1.134040355682373,87.54221749305725,20,24,2
Chinatown,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9825072886297376,0.9784385214986171,76.1242105960846,0.7902407646179199,76.91445136070251,20,24,2
Chinatown,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9854227405247813,0.981975638209545,76.59268403053284,0.7129778861999512,77.30566191673279,20,24,2
DiatomSizeReduction,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.8954248366013072,0.8719358909546611,83.34057760238647,1.5318615436553955,84.87243914604187,16,345,4
DiatomSizeReduction,InceptionTime,Inception_Standard,1,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9477124183006536,0.9492510169897105,80.82803583145142,1.2537188529968262,82.08175468444824,16,345,4
DiatomSizeReduction,InceptionTime,Inception_Standard,2,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.9281045751633987,0.9149165596919127,82.50622248649597,1.265305995941162,83.77152848243713,16,345,4
ElectricDevices,InceptionTime,Inception_Standard,0,"{""n_epochs"": 1500, ""batch_size"": 64, ""n_jobs"": 1}",0.7047075606276747,0.616443531443643,9148.046348571777,7.629359722137451,9155.675708293915,8926,96,7
