dataset_name,Arsenal,BOSS,HIVECOTEV2,InceptionTime,ResNet,Rocket,WEASEL
Chinatown,0.9825,0.9067,0.9825,0.9835,0.9825,0.9815,0.9563
Crop,0.7378,0.6645,0.7459,0.7487,0.7129,0.7561,0.6983
DiatomSizeReduction,0.9739,0.9281,0.951,0.9237,0.9684,0.9739,0.915
ElectricDevices,0.728,0.6732,,0.7033,0.7382,0.7305,0.7583
FordB,0.8111,0.816,0.8198,0.8568,0.8029,0.8066,0.8025
Fungi,1.0,0.9946,,1.0,0.8136,1.0,1.0
HandOutlines,0.9396,0.9189,0.9405,0.9495,0.7928,0.9432,0.8649
HouseTwenty,0.9664,0.9748,0.9748,0.972,0.9776,0.9636,0.9076
InsectEPGSmallTrain,0.9813,0.9277,0.9719,0.9424,0.7992,0.9813,0.9398
ItalyPowerDemand,0.9699,0.931,0.9699,0.9653,0.9602,0.9692,0.9631
Rock,0.9,0.76,0.96,0.78,0.4467,0.9,0.86
SmoothSubspace,0.9778,0.5956,0.98,0.9778,0.9844,0.9778,0.7733
